ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes,Theme
1,Completed,There and Then,James Salter,unknown,unknown,unknown,,1992,Europe / France,Europe,3,gemini+user,The Alps - literary,Returns
2,Completed,In Patagonia,Bruce Chatwin,unknown,unknown,unknown,,1977,South America,South America,2,gemini+chatgpt+user,"Genre-defining, vignettes",Modern Travel
4,Completed,South,Ernest Shackleton,unknown,unknown,unknown,,1919,Antarctica,Antarctica,1,gemini+chatgpt+user,Ultimate survival story,Edge & Extremes
5,Completed,The Valleys of the Assassins,Freya Stark,unknown,unknown,unknown,,1934,Middle East / Persia,Asia,4,gemini+chatgpt+user,Classic exploration,Crossings
6,Completed,The Great Railway Bazaar,Paul Theroux,unknown,unknown,unknown,,1975,Asia,Asia,1,gemini+chatgpt,Train travel classic,Modern Travel
7,Completed,A Time of Gifts,Patrick Leigh Fermor,unknown,unknown,unknown,,1977,Europe,Europe,2,gemini+chatgpt+user,On foot to Constantinople,Slow Routes
8,Completed,A Walk in the Woods,Bill Bryson,unknown,unknown,unknown,,1998,North America,North America,1,gemini+chatgpt+user,Appalachian Trail humor,Modern Travel
9,Completed,Arabian Sands,Wilfred Thesiger,unknown,unknown,unknown,,1959,Middle East,Asia,2,gemini+chatgpt+user,Empty Quarter,Edge & Extremes
10,Completed,The Road to Oxiana,Robert Byron,unknown,unknown,unknown,,1937,Middle East,Asia,3,gemini+chatgpt+user,Architecture & history,Crossings
11,Completed,Venice,Jan Morris,unknown,unknown,unknown,,1960,Europe / Italy,Europe,2,gemini,Perfect city portrait,Modern Travel
12,Completed,Black Lamb and Grey Falcon,Rebecca West,unknown,unknown,unknown,,1941,Europe / Balkans,Europe,3,gemini+user,1000+ pages masterpiece,Political Reckonings
13,Completed,The Snow Leopard,Peter Matthiessen,unknown,unknown,unknown,,1978,Asia / Himalayas,Asia,2,gemini+chatgpt+user,Spiritual journey,Edge & Extremes
14,Completed,A Short Walk in the Hindu Kush,Eric Newby,unknown,unknown,unknown,,1958,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Amateur adventure,Modern Travel
15,Completed,Into the Wild,Jon Krakauer,unknown,unknown,unknown,,1996,North America / Alaska,North America,1,gemini+chatgpt+user,Cautionary tale,Modern Travel
16,Completed,West with the Night,Beryl Markham,unknown,unknown,unknown,,1942,Africa,Africa,2,gemini+chatgpt+user,Aviation memoir,Returns
17,Completed,Tracks,Robyn Davidson,unknown,unknown,unknown,,1980,Oceania / Australia,Oceania,2,gemini+chatgpt,Desert with camels,Modern Travel
19,Completed,Travels with Charley,John Steinbeck,unknown,unknown,unknown,,1962,North America,North America,2,gemini+chatgpt+user,Road trip across USA,Modern Travel
20,Completed,The Old Ways,Robert Macfarlane,unknown,unknown,unknown,,2012,Multiple,,3,gemini+chatgpt,Philosophy of walking,Slow Routes
21,Completed,The Travels,Marco Polo,unknown,unknown,unknown,,1300,Asia / Silk Road,Asia,2,gemini,Historical classic,Foundational Routes
22,Completed,The Rihla,Ibn Battuta,unknown,unknown,unknown,,1355,Islamic World,,2,gemini,Medieval Islamic travel,Foundational Routes
23,Completed,Blue Highways,William Least Heat-Moon,unknown,unknown,unknown,,1982,North America,North America,2,gemini+chatgpt,US backroads,Modern Travel
26,Completed,From the Holy Mountain,William Dalrymple,unknown,unknown,unknown,,1997,Middle East,Asia,3,gemini+chatgpt,"Christianity, scholarly",Crossings
27,Completed,The Shadow of the Sun,Ryszard Kapuściński,unknown,unknown,unknown,,2001,Africa,Africa,2,gemini+chatgpt+user,Reportage masterpiece,Modern Travel
28,Completed,Full Tilt,Dervla Murphy,unknown,unknown,unknown,,1965,Asia,Asia,2,gemini+chatgpt+user,Ireland to India by bike,Modern Travel
34,Completed,As I Walked Out One Midsummer Morning,Laurie Lee,unknown,unknown,unknown,,1969,Europe / Spain,Europe,2,gemini,Walking memoir,Slow Routes
36,Completed,The Worst Journey in the World,Apsley Cherry-Garrard,unknown,unknown,unknown,,1922,Antarctica,Antarctica,1,gemini+chatgpt,Antarctic expedition,Edge & Extremes
38,Completed,An Area of Darkness,V.S. Naipaul,unknown,unknown,unknown,,1964,Asia / India,Asia,3,gemini+chatgpt,Controversial critique,Modern Travel
39,Completed,Video Night in Kathmandu,Pico Iyer,unknown,unknown,unknown,,1988,Asia,Asia,2,gemini+user,Pop culture analysis,Modern Travel
40,Completed,Shadow of the Silk Road,Colin Thubron,unknown,unknown,unknown,,2006,Asia,Asia,2,gemini+user,China to Turkey,Modern Travel
45,Completed,The Salt Path,Raynor Winn,female,unknown,unknown,,2018,Europe / England,Europe,2,gemini+user,Coastal walking memoir along UK coast - homelessness and healing,Slow Routes
47,Completed,Coming into the Country,John McPhee,unknown,unknown,unknown,,1977,North America / Alaska,North America,2,gemini,Alaska reportage,Modern Travel
49,Completed,Travels with Myself and Another,Martha Gellhorn,unknown,unknown,unknown,,1978,Multiple,,2,gemini,War correspondent,Modern Travel
51,Completed,A Year in Provence,Peter Mayle,unknown,unknown,unknown,,1989,Europe / France,Europe,2,gemini,Expat comedy,Modern Travel
53,Completed,The Motorcycle Diaries,Che Guevara,unknown,unknown,unknown,,1993,South America,South America,2,gemini,Political memoir,Modern Travel
56,Completed,Iron and Silk,Mark Salzman,unknown,unknown,unknown,,1986,Asia / China,Asia,2,gemini,Martial arts memoir,Modern Travel
57,Completed,The River at the Center of the World,Simon Winchester,unknown,unknown,unknown,,1996,Asia / China,Asia,2,gemini+user,Yangtze River,Modern Travel
58,Completed,A Fortune-Teller Told Me,Tiziano Terzani,unknown,unknown,unknown,,1997,Asia,Asia,2,gemini,Fate and travel,Modern Travel
59,Completed,Looking for Transwonderland,Noo Saro-Wiwa,unknown,unknown,unknown,,2012,Africa / Nigeria,Africa,3,gemini,Modern Nigeria,Modern Travel
61,Completed,Wild Coast,John Gimlette,unknown,unknown,unknown,,2011,South America,South America,2,gemini,Guyana / Suriname,Modern Travel
64,Completed,The Way of the World,Nicolas Bouvier,unknown,unknown,unknown,,1963,Asia,Asia,3,gemini+chatgpt,Geneva to Khyber Pass,Modern Travel
69,Completed,Arctic Dreams,Barry Lopez,unknown,unknown,unknown,,1986,Arctic,Arctic,3,gemini,Meditative nature,Edge & Extremes
70,Completed,The Man Who Walked Through Time,Colin Fletcher,unknown,unknown,unknown,,1968,North America,North America,2,gemini,Grand Canyon,Slow Routes
73,Completed,Unbeaten Tracks in Japan,Isabella Bird,unknown,unknown,unknown,,1880,Asia / Japan,Asia,2,gemini,Meiji Japan,Crossings
74,Completed,The Oregon Trail,Francis Parkman,unknown,unknown,unknown,,1849,North America,North America,2,gemini,Frontier America,Modern Travel
76,Completed,River Town,Peter Hessler,unknown,unknown,unknown,,2001,Asia / China,Asia,3,gemini+chatgpt+user,Peace Corps memoir,Modern Travel
77,Completed,The Places in Between,Rory Stewart,unknown,unknown,unknown,,2006,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Post-9/11 walk,Modern Travel
80,Completed,My Journey to Lhasa,Alexandra David-Néel,unknown,unknown,unknown,,1927,Asia / Tibet,Asia,2,gemini,Early female explorer,Modern Travel
81,Completed,Jupiter's Travels,Ted Simon,unknown,unknown,unknown,,1979,Multiple,,2,gemini,World by motorcycle,Modern Travel
82,Completed,Travels in West Africa,Mary Kingsley,unknown,unknown,unknown,,1897,Africa,Africa,2,gemini,Victorian female explorer,Foundational Routes
83,Completed,Blood River,Tim Butcher,unknown,unknown,unknown,,2007,Africa / Congo,Africa,2,gemini,Congo River journey,Modern Travel
84,Completed,Terra Incognita,Sara Wheeler,unknown,unknown,unknown,,1996,Antarctica,Antarctica,2,gemini,Female Antarctic,Modern Travel
85,Completed,Into the Heart of Borneo,Redmond O'Hanlon,unknown,unknown,unknown,,1984,Asia / Borneo,Asia,2,gemini+chatgpt+user,Humor and adventure,Modern Travel
89,Completed,The Narrow Road to the Deep North,Matsuo Bashō,unknown,unknown,unknown,,1702,Asia / Japan,Asia,4,gemini,17th C haiku travel,Foundational Routes
92,Completed,The Cruel Way,Ella Maillart,unknown,unknown,unknown,,1947,Asia / Afghanistan,Asia,3,gemini,Wartime journey,Edge & Extremes
96,Completed,Travels with a Donkey in the Cévennes,Robert Louis Stevenson,unknown,unknown,unknown,,1879,Europe / France,Europe,2,gemini,Classic walking,Modern Travel
98,Completed,A Small Place,Jamaica Kincaid,unknown,unknown,unknown,,1988,Caribbean / Antigua,,3,gemini,Anti-tourism essay,Modern Travel
99,Completed,In an Antique Land,Amitav Ghosh,unknown,unknown,unknown,,1992,Africa / Egypt,Africa,3,gemini,Historical layered,Crossings
117,Completed,A House in Bali,Colin McPhee,unknown,unknown,unknown,,1946,Asia / Indonesia,Asia,3,chatgpt,Musical memoir,Modern Travel
127,Completed,A Pattern of Islands,Arthur Grimble,unknown,unknown,unknown,,1952,Oceania,Oceania,3,chatgpt,Colonial Pacific,Modern Travel
142,Completed,Maximum City,Suketu Mehta,unknown,unknown,unknown,,2004,Asia / India,Asia,2,chatgpt+user,Mumbai narrative,Modern Travel
145,Completed,From Heaven Lake,Vikram Seth,unknown,unknown,unknown,,1983,Asia / China,Asia,2,chatgpt+user,Hitchhiking China,Modern Travel
147,Completed,Naples '44,Norman Lewis,unknown,unknown,unknown,,1978,Europe / Italy,Europe,2,user,WWII Naples,Political Reckonings
150,Completed,Walking with Abel: Journeys with the Nomads of the African Savannah,Anna Badkhen,unknown,unknown,unknown,,2015,Africa / Mali,Africa,3,user,Fulani herders migration,Modern Travel
152,Completed,The Cruelest Journey: 600 Miles to Timbuktu,Kira Salak,unknown,unknown,unknown,,2004,Africa / Mali,Africa,2,new-addition,Woman author - solo kayaking Niger River to Timbuktu,Modern Travel
153,Completed,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark Adams,unknown,unknown,unknown,,2011,South America / Peru,South America,2,new-addition,Contemporary bestseller - historical detective work with wry humor,Modern Travel
154,Completed,Motoring with Mohammed: Journeys to Yemen and the Red Sea,Eric Hansen,unknown,unknown,unknown,,1991,Middle East / Yemen,Asia,2,new-addition,Yemen and Red Sea journeys - Hansen's second masterpiece,Modern Travel
155,Completed,The Roads to Sata,Alan Booth,male,no,no,,1985,Asia / Japan,Asia,2,user,Walking the length of Japan - Cape Soya to Cape Sata,Modern Travel
156,Completed,News from Tartary,Peter Fleming,male,no,no,,1935,Asia / Central Asia,Asia,2,user,Peking to Kashmir across Xinjiang - Silk Road adventure with Ella Maillart,Modern Travel
157,Completed,The Great Game,Peter Hopkirk,male,no,no,,1990,Asia / Central Asia,Asia,2,user,Historical narrative of British-Russian rivalry in Central Asia,Modern Travel
158,Completed,Passage to Juneau,Jonathan Raban,male,no,no,,1999,North America / Pacific Northwest,North America,2,user,Solo sailing Inside Passage - maritime literature with grief and indigenous history,Modern Travel
159,Completed,Travels with a Tangerine,Tim Mackintosh-Smith,male,no,no,,2001,North Africa / Middle East,Africa|Asia,2,user,Following Ibn Battutah from Morocco to Turkey - historical footsteps with Arabic scholarship,Modern Travel
160,Completed,Roads to Santiago,Cees Nooteboom,male,no,no,,1992,Europe / Spain,Europe,3,user,Wandering through Spain hunting Romanesque churches and Zurbarán paintings - literary detours,Slow Routes
161,Completed,Border,Kapka Kassabova,female,no,no,,2017,Europe / Balkans,Europe,3,user,Bulgaria-Turkey-Greece borderlands - Cold War ghosts and refugee stories,Political Reckonings
162,Completed,Dark Continent My Black Arse,Sihle Khumalo,male,no,yes,,2007,Africa,Africa,3,user,Cape Town to Cairo by public transport - African perspective dismantling stereotypes,Modern Travel
163,Completed,My Traitor's Heart,Rian Malan,male,no,no,,1990,Africa / South Africa,Africa,3,user,Afrikaner journalist confronting apartheid violence and family legacy,Political Reckonings
164,Completed,One Day I Will Write About This Place,Binyavanga Wainaina,male,no,yes,,2011,Africa / Kenya,Africa,3,user,Kenyan coming-of-age memoir - sensory and linguistic exploration,Modern Travel
165,Completed,When a Crocodile Eats the Sun,Peter Godwin,male,no,no,,2006,Africa / Zimbabwe,Africa,2,user,Zimbabwe's collapse under Mugabe - family memoir and political witness,Modern Travel
166,Completed,Indonesia Etc,Elizabeth Pisani,female,no,no,,2014,Asia / Indonesia,Asia,2,user,Exploring Indonesian archipelago - epidemiologist's witty political sociology,Modern Travel
168,Completed,The Turkish Embassy Letters,Lady Mary Wortley Montagu,female,no,no,,1763,Asia / Ottoman Empire,Asia,3,user,18th-century letters from Constantinople - pioneering female travel writer introducing smallpox inoculation,Modern Travel
169,Completed,Catfish and Mandala,Andrew X. Pham,male,no,yes,,1999,Asia / Vietnam,Asia,2,user,Vietnamese-American bicycle journey through Vietnam - refugee identity and family trauma,Modern Travel
170,Completed,Out of Sheer Rage,Geoff Dyer,male,no,no,,1997,Multiple,Europe,3,user,Anti-travel book wrestling with D.H. Lawrence - meta-narrative about failing to write,Modern Travel
171,Completed,The First Voyage Around the World,Antonio Pigafetta,male,no,no,,1525,Global,Global,2,user,Magellan expedition chronicle - first circumnavigation eyewitness account,Foundational Routes
172,Completed,The Great Hedge of India,Roy Moxham,male,no,no,,2001,Asia / India,Asia,3,user,Historical detective work tracing Britain's massive customs barrier across India,Modern Travel
173,Completed,Chasing the Monsoon,Alexander Frater,male,no,no,,1990,Asia / India,Asia,2,user,Following the Indian monsoon from Kerala to Cherrapunji - meteorological journey with wit and curiosity,Modern Travel
174,Completed,The Blue Nile,Alan Moorehead,male,no,no,,1962,Africa,Africa,2,user,Historical narrative of exploration and empire along the Blue Nile - from Lake Tana to Khartoum,Modern Travel
175,Completed,A Journey to the Western Islands of Scotland,Samuel Johnson,male,no,no,,1775,Europe / Scotland,Europe,3,user,Dr. Johnson's philosophical exploration of Highland Scotland and disappearing clan culture,Foundational Routes
176,Completed,African Calliope,Edward Hoagland,male,no,no,,1979,Africa / Sudan,Africa,3,user,Essayist's journey through 1970s Sudan - wildlife and civil war on the verge of fracture,Political Reckonings
177,Completed,Travels in Arabia Deserta,Charles Montagu Doughty,male,no,no,,1888,Middle East / Arabia,Asia,3,user,Victorian epic of two years wandering with Bedouin tribes - archaic prose and unparalleled immersion,Modern Travel
178,Completed,The Windward Road,Archie Carr,male,no,no,,1956,Caribbean,North America,2,user,Naturalist's quest to save sea turtles - Caribbean wanderings with scientific wonder,Modern Travel
179,Completed,The Path to Rome,Hilaire Belloc,male,no,no,,1902,Europe,Europe,2,user,Walking pilgrimage from France to Rome - whimsical illustrations and Catholic devotion,Modern Travel
182,Completed,First Overland: London-Singapore by Land Rover,Tim Slessor,male,no,no,,2006,Multiple,Asia,2,user,1955 expedition across Asia in two Land Rovers - pioneering overland adventure through Burma Road,Modern Travel
183,Completed,Incidents of Travel in Yucatán,John Lloyd Stephens,male,no,no,,1843,Central America / Mexico,North America,2,user,American explorer discovering Maya civilization - archaeological adventure with Catherwood's illustrations,Modern Travel
184,Completed,An Unexpected Light: Travels in Afghanistan,Jason Elliott,male,no,no,,1999,Asia / Afghanistan,Asia,3,user,Literary journey through 1980s-90s Afghanistan - Persian poetry and war-torn beauty,Modern Travel
185,Completed,Libyan Sands: Travel in a Dead World,Ralph Bagnold,male,no,no,,1935,Africa / Libya,Africa,3,user,Engineer's pioneering Model T expeditions into Sahara - physics of sand and desert exploration,Modern Travel
186,Completed,Maiden Voyage,Tania Aebi,female,no,no,,1989,Global / Oceans,Global,2,user,18-year-old's solo circumnavigation by sailboat - youngest woman to sail around the world,Edge & Extremes
187,Completed,The Great American Bus Ride,Bill Adler,male,no,no,,1986,North America,North America,2,user,Cross-country Greyhound journey - social commentary on 1980s America,Modern Travel
188,Completed,Cities and Stones: A Traveller's Yugoslavia,Brian Aldiss,male,no,no,,1966,Europe / Yugoslavia,Europe,3,user,Science fiction writer's poetic journey through 1960s Communist Yugoslavia,Modern Travel
189,Completed,The Voyage of the Beagle,Charles Darwin,male,no,no,,1839,South America / Global,South America|Global,2,user,Scientific travel memoir - five-year HMS Beagle voyage discovering evolution's foundations,Foundational Routes
190,Completed,Sailing Alone Around the World,Joshua Slocum,male,no,no,,1900,Global / Oceans,Global,2,user,First solo circumnavigation by sailboat - 46000 miles in a rebuilt oyster sloop,Modern Travel
191,Completed,Personal Narrative,Alexander von Humboldt,male,no,no,,1814,South America,South America,3,user,Prussian polymath's scientific expedition - Amazon and Orinoco with 42 instruments,Foundational Routes
192,Completed,A Ride to Khiva,Fred Burnaby,male,no,no,,1876,Asia / Central Asia,Asia,3,user,Victorian cavalry officer's winter ride to forbidden Uzbek khanate - Great Game adventure,Modern Travel
