ID,Status,Title,Author,author_gender,author_indigenous,author_person_of_color,author_identity_notes,Year,Primary_Region,travel_continents,Tier,Source,Notes,New_Category
1,Completed,There and Then,James Salter,male,no,no,,1992,Europe / France,Europe,3,gemini+user,The Alps - literary,IX. Self-Reckoning Through Movement
2,Completed,In Patagonia,Bruce Chatwin,male,no,no,,1977,South America,South America,2,gemini+chatgpt+user,"Genre-defining, vignettes",IX. Self-Reckoning Through Movement
4,Completed,South,Ernest Shackleton,male,no,no,,1919,Antarctica,Antarctica,1,gemini+chatgpt+user,Ultimate survival story,II. Exploration at the Edge
5,Completed,The Valleys of the Assassins,Freya Stark,female,no,no,,1934,Middle East / Persia,Asia,4,gemini+chatgpt+user,Classic exploration,IV. Frontiers and Frictions
6,Completed,The Great Railway Bazaar,Paul Theroux,male,no,no,,1975,Asia,Asia,1,gemini+chatgpt,Train travel classic,VI. Institutional Constraints
7,Completed,A Time of Gifts,Patrick Leigh Fermor,male,no,no,,1977,Europe,Europe,2,gemini+chatgpt+user,On foot to Constantinople,III. Slow Routes and Long Ways Through
8,Completed,A Walk in the Woods,Bill Bryson,male,no,no,,1998,North America,North America,1,gemini+chatgpt+user,Appalachian Trail humor,V. Humbled by the World
9,Completed,Arabian Sands,Wilfred Thesiger,male,no,no,,1959,Middle East,Asia,2,gemini+chatgpt+user,Empty Quarter,II. Exploration at the Edge
10,Completed,The Road to Oxiana,Robert Byron,male,no,no,,1937,Middle East,Asia,3,gemini+chatgpt+user,Architecture & history,IV. Frontiers and Frictions
11,Completed,Venice,Jan Morris,female,no,no,,1960,Europe / Italy,Europe,2,gemini,Perfect city portrait,VII. Inhabited Landscapes
12,Completed,Black Lamb and Grey Falcon,Rebecca West,female,no,no,,1941,Europe / Balkans,Europe,3,gemini+user,1000+ pages masterpiece,VIII. Political Moral and Historical Reckonings
13,Completed,The Snow Leopard,Peter Matthiessen,male,no,no,,1978,Asia / Himalayas,Asia,2,gemini+chatgpt+user,Spiritual journey,II. Exploration at the Edge
14,Completed,A Short Walk in the Hindu Kush,Eric Newby,male,no,no,,1958,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Amateur adventure,V. Humbled by the World
15,Completed,Into the Wild,Jon Krakauer,male,no,no,,1996,North America / Alaska,North America,1,gemini+chatgpt+user,Cautionary tale,II. Exploration at the Edge
16,Completed,West with the Night,Beryl Markham,female,no,no,,1942,Africa,Africa,2,gemini+chatgpt+user,Aviation memoir,IX. Self-Reckoning Through Movement
17,Completed,Tracks,Robyn Davidson,female,no,no,,1980,Oceania / Australia,Oceania,2,gemini+chatgpt,Desert with camels,II. Exploration at the Edge
19,Completed,Travels with Charley,John Steinbeck,male,no,no,,1962,North America,North America,2,gemini+chatgpt+user,Road trip across USA,IX. Self-Reckoning Through Movement
20,Completed,The Old Ways,Robert Macfarlane,male,no,no,,2012,Multiple,,3,gemini+chatgpt,Philosophy of walking,III. Slow Routes and Long Ways Through
21,Completed,The Travels,Marco Polo,male,no,no,,1300,Asia / Silk Road,Asia,2,gemini,Historical classic,I. First Routes and Foundational Journeys
22,Completed,The Rihla,Ibn Battuta,male,no,no,,1355,Islamic World,,2,gemini,Medieval Islamic travel,I. First Routes and Foundational Journeys
23,Completed,Blue Highways,William Least Heat-Moon,male,no,no,,1982,North America,North America,2,gemini+chatgpt,US backroads,VI. Institutional Constraints
26,Completed,From the Holy Mountain,William Dalrymple,male,no,no,,1997,Middle East,Asia,3,gemini+chatgpt,"Christianity, scholarly",IV. Frontiers and Frictions
27,Completed,The Shadow of the Sun,Ryszard Kapuściński,male,no,no,,2001,Africa,Africa,2,gemini+chatgpt+user,Reportage masterpiece,VIII. Political Moral and Historical Reckonings
28,Completed,Full Tilt,Dervla Murphy,female,no,no,,1965,Asia,Asia,2,gemini+chatgpt+user,Ireland to India by bike,VI. Institutional Constraints
34,Completed,As I Walked Out One Midsummer Morning,Laurie Lee,male,no,no,,1969,Europe / Spain,Europe,2,gemini,Walking memoir,III. Slow Routes and Long Ways Through
36,Completed,The Worst Journey in the World,Apsley Cherry-Garrard,male,no,no,,1922,Antarctica,Antarctica,1,gemini+chatgpt,Antarctic expedition,II. Exploration at the Edge
38,Completed,An Area of Darkness,V.S. Naipaul,male,no,yes,,1964,Asia / India,Asia,3,gemini+chatgpt,Controversial critique,IX. Self-Reckoning Through Movement
39,Completed,Video Night in Kathmandu,Pico Iyer,male,no,yes,,1988,Asia,Asia,2,gemini+user,Pop culture analysis,V. Humbled by the World
40,Completed,Shadow of the Silk Road,Colin Thubron,male,no,no,,2006,Asia,Asia,2,gemini+user,China to Turkey,VI. Institutional Constraints
45,Completed,The Salt Path,Raynor Winn,female,no,no,,2018,Europe / England,Europe,2,gemini+user,Coastal walking memoir along UK coast - homelessness and healing,III. Slow Routes and Long Ways Through
47,Completed,Coming into the Country,John McPhee,male,no,no,,1977,North America / Alaska,North America,2,gemini,Alaska reportage,II. Exploration at the Edge
49,Completed,Travels with Myself and Another,Martha Gellhorn,female,no,no,,1978,Multiple,,2,gemini,War correspondent,IX. Self-Reckoning Through Movement
51,Completed,A Year in Provence,Peter Mayle,male,no,no,,1989,Europe / France,Europe,2,gemini,Expat comedy,VII. Inhabited Landscapes
53,Completed,The Motorcycle Diaries,Che Guevara,male,no,no,,1993,South America,South America,2,gemini,Political memoir,IX. Self-Reckoning Through Movement
56,Completed,Iron and Silk,Mark Salzman,male,no,no,,1986,Asia / China,Asia,2,gemini,Martial arts memoir,VII. Inhabited Landscapes
57,Completed,The River at the Center of the World,Simon Winchester,male,no,no,,1996,Asia / China,Asia,2,gemini+user,Yangtze River,VI. Institutional Constraints
58,Completed,A Fortune-Teller Told Me,Tiziano Terzani,male,no,no,,1997,Asia,Asia,2,gemini,Fate and travel,VI. Institutional Constraints
59,Completed,Looking for Transwonderland,Noo Saro-Wiwa,female,no,yes,,2012,Africa / Nigeria,Africa,3,gemini,Modern Nigeria,IX. Self-Reckoning Through Movement
61,Completed,Wild Coast,John Gimlette,male,no,no,,2011,South America,South America,2,gemini,Guyana / Suriname,VIII. Political Moral and Historical Reckonings
64,Completed,The Way of the World,Nicolas Bouvier,male,no,no,,1963,Asia,Asia,3,gemini+chatgpt,Geneva to Khyber Pass,VI. Institutional Constraints
69,Completed,Arctic Dreams,Barry Lopez,male,no,no,,1986,Arctic,Arctic,3,gemini,Meditative nature,II. Exploration at the Edge
70,Completed,The Man Who Walked Through Time,Colin Fletcher,male,no,no,,1968,North America,North America,2,gemini,Grand Canyon,III. Slow Routes and Long Ways Through
73,Completed,Unbeaten Tracks in Japan,Isabella Bird,female,no,no,,1880,Asia / Japan,Asia,2,gemini,Meiji Japan,IV. Frontiers and Frictions
74,Completed,The Oregon Trail,Francis Parkman,male,no,no,,1849,North America,North America,2,gemini,Frontier America,I. First Routes and Foundational Journeys
76,Completed,River Town,Peter Hessler,male,no,no,,2001,Asia / China,Asia,3,gemini+chatgpt+user,Peace Corps memoir,VII. Inhabited Landscapes
77,Completed,The Places in Between,Rory Stewart,male,no,no,,2006,Asia / Afghanistan,Asia,2,gemini+chatgpt+user,Post-9/11 walk,IV. Frontiers and Frictions
79,Completed,Travels in West Africa,Mary Kingsley,female,no,no,,1897,Africa,Africa,2,gemini,Victorian explorer,I. First Routes and Foundational Journeys
80,Completed,Travels with a Donkey in the Cévennes,Robert Louis Stevenson,male,no,no,,1879,Europe / France,Europe,2,gemini+user,Classic walking narrative,III. Slow Routes and Long Ways Through
81,Completed,The Cruel Way,Ella Maillart,female,no,no,,1947,Asia / Afghanistan,Asia,2,gemini,Wartime journey,II. Exploration at the Edge
82,Completed,My Journey to Lhasa,Alexandra David-Néel,female,no,no,,1927,Asia / Tibet,Asia,2,gemini,Forbidden city,IV. Frontiers and Frictions
98,Completed,A Small Place,Jamaica Kincaid,female,no,yes,,1988,Caribbean / Antigua,,3,gemini,Anti-tourism essay,VIII. Political Moral and Historical Reckonings
99,Completed,In an Antique Land,Amitav Ghosh,male,no,yes,,1992,Africa / Egypt,Africa,3,gemini,Historical layered,IV. Frontiers and Frictions
117,Completed,A House in Bali,Colin McPhee,male,no,no,,1946,Asia / Indonesia,Asia,3,chatgpt,Musical memoir,VII. Inhabited Landscapes
127,Completed,A Pattern of Islands,Arthur Grimble,male,no,no,,1952,Oceania,Oceania,3,chatgpt,Colonial Pacific,VII. Inhabited Landscapes
142,Completed,Maximum City,Suketu Mehta,male,no,yes,,2004,Asia / India,Asia,2,chatgpt+user,Mumbai narrative,VII. Inhabited Landscapes
145,Completed,From Heaven Lake,Vikram Seth,male,no,yes,,1983,Asia / China,Asia,2,chatgpt+user,Hitchhiking China,V. Humbled by the World
147,Completed,Naples '44,Norman Lewis,male,no,no,,1978,Europe / Italy,Europe,2,user,WWII Naples,VIII. Political Moral and Historical Reckonings
150,Completed,Walking with Abel: Journeys with the Nomads of the African Savannah,Anna Badkhen,female,no,no,,2015,Africa / Mali,Africa,3,user,Fulani herders migration,III. Slow Routes and Long Ways Through
152,Completed,The Cruelest Journey: 600 Miles to Timbuktu,Kira Salak,female,no,no,,2004,Africa / Mali,Africa,2,new-addition,Woman author - solo kayaking Niger River to Timbuktu,II. Exploration at the Edge
153,Completed,Turn Right at Machu Picchu: Rediscovering the Lost City One Step at a Time,Mark Adams,male,no,no,,2011,South America / Peru,South America,2,new-addition,Contemporary bestseller - historical detective work with wry humor,V. Humbled by the World
154,Completed,Motoring with Mohammed: Journeys to Yemen and the Red Sea,Eric Hansen,male,no,no,,1991,Middle East / Yemen,Asia,2,new-addition,Yemen and Red Sea journeys - Hansen's second masterpiece,VI. Institutional Constraints
155,Completed,The Roads to Sata,Alan Booth,male,no,no,,1985,Asia / Japan,Asia,2,user,Walking the length of Japan - Cape Soya to Cape Sata,III. Slow Routes and Long Ways Through
156,Completed,News from Tartary,Peter Fleming,male,no,no,,1935,Asia / Central Asia,Asia,2,user,Peking to Kashmir across Xinjiang - Silk Road adventure with Ella Maillart,IV. Frontiers and Frictions
157,Completed,The Great Game,Peter Hopkirk,male,no,no,,1990,Asia / Central Asia,Asia,2,user,Historical narrative of British-Russian rivalry in Central Asia,VIII. Political Moral and Historical Reckonings
158,Completed,Passage to Juneau,Jonathan Raban,male,no,no,,1999,North America / Pacific Northwest,North America,2,user,Solo sailing Inside Passage - maritime literature with grief and indigenous history,VI. Institutional Constraints
159,Completed,Travels with a Tangerine,Tim Mackintosh-Smith,male,no,no,,2001,North Africa / Middle East,Africa|Asia,2,user,Following Ibn Battutah from Morocco to Turkey - historical footsteps with Arabic scholarship,IV. Frontiers and Frictions
160,Completed,Roads to Santiago,Cees Nooteboom,male,no,no,,1992,Europe / Spain,Europe,3,user,Wandering through Spain hunting Romanesque churches and Zurbarán paintings - literary detours,III. Slow Routes and Long Ways Through
161,Completed,Border,Kapka Kassabova,female,no,no,,2017,Europe / Balkans,Europe,3,user,Bulgaria-Turkey-Greece borderlands - Cold War ghosts and refugee stories,VIII. Political Moral and Historical Reckonings
162,Completed,Dark Continent My Black Arse,Sihle Khumalo,male,no,yes,,2007,Africa,Africa,3,user,Cape Town to Cairo by public transport - African perspective dismantling stereotypes,V. Humbled by the World
163,Completed,My Traitor's Heart,Rian Malan,male,no,no,,1990,Africa / South Africa,Africa,3,user,Afrikaner journalist confronting apartheid violence and family legacy,VIII. Political Moral and Historical Reckonings
164,Completed,One Day I Will Write About This Place,Binyavanga Wainaina,male,no,yes,,2011,Africa / Kenya,Africa,3,user,Kenyan coming-of-age memoir - sensory and linguistic exploration,IX. Self-Reckoning Through Movement
165,Completed,When a Crocodile Eats the Sun,Peter Godwin,male,no,no,,2006,Africa / Zimbabwe,Africa,2,user,Zimbabwe's collapse under Mugabe - family memoir and political witness,VIII. Political Moral and Historical Reckonings
166,Completed,Indonesia Etc,Elizabeth Pisani,female,no,no,,2014,Asia / Indonesia,Asia,2,user,Exploring Indonesian archipelago - epidemiologist's witty political sociology,VII. Inhabited Landscapes
168,Completed,The Turkish Embassy Letters,Lady Mary Wortley Montagu,female,no,no,,1763,Asia / Ottoman Empire,Asia,3,user,18th-century letters from Constantinople - pioneering female travel writer introducing smallpox inoculation,IV. Frontiers and Frictions
169,Completed,Catfish and Mandala,Andrew X. Pham,male,no,yes,,1999,Asia / Vietnam,Asia,2,user,Vietnamese-American bicycle journey through Vietnam - refugee identity and family trauma,IX. Self-Reckoning Through Movement
170,Completed,Out of Sheer Rage,Geoff Dyer,male,no,no,,1997,Multiple,Europe,3,user,Anti-travel book wrestling with D.H. Lawrence - meta-narrative about failing to write,IX. Self-Reckoning Through Movement
171,Completed,The First Voyage Around the World,Antonio Pigafetta,male,no,no,,1525,Global,Global,2,user,Magellan expedition chronicle - first circumnavigation eyewitness account,I. First Routes and Foundational Journeys
172,Completed,The Great Hedge of India,Roy Moxham,male,no,no,,2001,Asia / India,Asia,3,user,Historical detective work tracing Britain's massive customs barrier across India,IV. Frontiers and Frictions
173,Completed,Chasing the Monsoon,Alexander Frater,male,no,no,,1990,Asia / India,Asia,2,user,Following the Indian monsoon from Kerala to Cherrapunji - meteorological journey with wit and curiosity,III. Slow Routes and Long Ways Through
174,Completed,The Blue Nile,Alan Moorehead,male,no,no,,1962,Africa,Africa,2,user,Historical narrative of exploration and empire along the Blue Nile - from Lake Tana to Khartoum,I. First Routes and Foundational Journeys
175,Completed,A Journey to the Western Islands of Scotland,Samuel Johnson,male,no,no,,1775,Europe / Scotland,Europe,3,user,Dr. Johnson's philosophical exploration of Highland Scotland and disappearing clan culture,I. First Routes and Foundational Journeys
176,Completed,African Calliope,Edward Hoagland,male,no,no,,1979,Africa / Sudan,Africa,3,user,Essayist's journey through 1970s Sudan - wildlife and civil war on the verge of fracture,VIII. Political Moral and Historical Reckonings
177,Completed,Travels in Arabia Deserta,Charles Montagu Doughty,male,no,no,,1888,Middle East / Arabia,Asia,3,user,Victorian epic of two years wandering with Bedouin tribes - archaic prose and unparalleled immersion,IV. Frontiers and Frictions
178,Completed,The Windward Road,Archie Carr,male,no,no,,1956,Caribbean,North America,2,user,Naturalist's quest to save sea turtles - Caribbean wanderings with scientific wonder,VII. Inhabited Landscapes
179,Completed,The Path to Rome,Hilaire Belloc,male,no,no,,1902,Europe,Europe,2,user,Walking pilgrimage from France to Rome - whimsical illustrations and Catholic devotion,III. Slow Routes and Long Ways Through
182,Completed,First Overland: London-Singapore by Land Rover,Tim Slessor,male,no,no,,2006,Multiple,Asia,2,user,1955 expedition across Asia in two Land Rovers - pioneering overland adventure through Burma Road,VI. Institutional Constraints
183,Completed,Incidents of Travel in Yucatán,John Lloyd Stephens,male,no,no,,1843,Central America / Mexico,North America,2,user,American explorer discovering Maya civilization - archaeological adventure with Catherwood's illustrations,I. First Routes and Foundational Journeys
184,Completed,An Unexpected Light: Travels in Afghanistan,Jason Elliott,male,no,no,,1999,Asia / Afghanistan,Asia,3,user,Literary journey through 1980s-90s Afghanistan - Persian poetry and war-torn beauty,IV. Frontiers and Frictions
185,Completed,Libyan Sands: Travel in a Dead World,Ralph Bagnold,male,no,no,,1935,Africa / Libya,Africa,3,user,Engineer's pioneering Model T expeditions into Sahara - physics of sand and desert exploration,II. Exploration at the Edge
186,Completed,Maiden Voyage,Tania Aebi,female,no,no,,1989,Global / Oceans,Global,2,user,18-year-old's solo circumnavigation by sailboat - youngest woman to sail around the world,II. Exploration at the Edge
187,Completed,The Great American Bus Ride,Bill Adler,male,no,no,,1986,North America,North America,2,user,Cross-country Greyhound journey - social commentary on 1980s America,V. Humbled by the World
188,Completed,Cities and Stones: A Traveller's Yugoslavia,Brian Aldiss,male,no,no,,1966,Europe / Yugoslavia,Europe,3,user,Science fiction writer's poetic journey through 1960s Communist Yugoslavia,VII. Inhabited Landscapes
189,Completed,The Voyage of the Beagle,Charles Darwin,male,no,no,,1839,South America / Global,South America|Global,2,user,Scientific travel memoir - five-year HMS Beagle voyage discovering evolution's foundations,I. First Routes and Foundational Journeys
190,Completed,Sailing Alone Around the World,Joshua Slocum,male,no,no,,1900,Global / Oceans,Global,2,user,First solo circumnavigation by sailboat - 46000 miles in a rebuilt oyster sloop,I. First Routes and Foundational Journeys
191,Completed,Personal Narrative,Alexander von Humboldt,male,no,no,,1814,South America,South America,3,user,Prussian polymath's scientific expedition - Amazon and Orinoco with 42 instruments,I. First Routes and Foundational Journeys
192,Completed,A Ride to Khiva,Fred Burnaby,male,no,no,,1876,Asia / Central Asia,Asia,3,user,Victorian cavalry officer's winter ride to forbidden Uzbek khanate - Great Game adventure,IV. Frontiers and Frictions
193,Completed,Into the Heart of Borneo,Redmond O'Hanlon,male,no,no,,1984,Asia / Borneo,Asia,2,user,Comedic expedition into Borneo jungle - amateur naturalist meets headhunters,VI. Institutional Constraints
,Completed,Terra Incognita,Sara Wheeler,unknown,unknown,unknown,,,Antarctica,Antarctica,,gemini,Female Antarctic,Modern Travel
,Completed,Terra Incognita,Sara Wheeler,unknown,unknown,unknown,,,Antarctica,Antarctica,,gemini,Female Antarctic,Modern Travel
